T,RH,WS,PET,PMV,PPD,SET,RWS,CE,Height,PETH,PMVH
28.28,92.77,2.45,29.4,1.06,29,33.9,3.3,14.5,0,48.4,2.89
29.64,85.06,2.74,30.8,1.28,39,34.5,3.51,14.4,6,48.1,2.84
31.64,74.47,2.86,32.9,1.85,69,35.2,3.63,13.2,12,47.8,2.77
33.63,65.24,2.01,35.4,2.2,85,35.9,3.47,13,18,47.6,2.74
35.5,57.43,1.68,37.6,2.5,93,36.5,3.37,12.9,24,47.4,2.72
37.07,52.38,1.54,39.5,2.74,97,36.9,3.34,12.8,30,47.3,2.69
38.49,47.57,1.17,41.3,2.85,98,37,3.39,13.2,36,46.9,2.69
39.35,44.51,0.82,42.6,2.89,98,37.1,3.37,13.2,42,46.8,2.68
40.09,42.13,0.78,43.5,2.87,98,36.9,3.82,13.6,48,46.6,2.67
39.97,42.42,1.67,42.5,2.77,98,36.6,3.85,14,54,46.5,2.66
39.21,43.5,1.44,41.7,2.69,97,36.5,3.65,14,60,46.3,2.65
37.79,49.12,2.52,39.7,2.68,96,36.7,3.18,13.3,66,46.2,2.64
35.81,54.96,3.77,37.2,2.37,90,36.1,3.45,13.4,72,46,2.63
33.66,63.77,3.17,35,2.05,79,35.4,3.6,13.7,78,45.9,2.63
32.39,70.9,2.43,33.9,1.62,57,35,3.68,15.1,84,45.8,2.62
31.73,74.74,2.56,33.2,1.45,48,34.6,3.73,15.1,90,45.6,2.6
31.24,77.31,2.82,32.5,1.45,48,34.7,3.65,14.9,96,45.5,2.6
30.69,79.85,2.85,31.9,1.4,45,34.6,3.59,14.7,102,45.4,2.59
30.19,82.03,2.68,31.4,1.32,41,34.5,3.53,14.7,9,46.5,2.89
29.56,85.05,2.78,30.6,1.3,40,34.5,3.56,14.4,6,46.2,2.84
29.19,88.82,3,30.2,1.23,36,34.3,3.52,14.5,12,46,2.77
28.87,91.07,2.75,30,1.18,34,34.3,3.45,14.4,18,45.8,2.74
28.57,92.29,2.43,29.8,1.14,32,34.2,3.42,14.4,24,45.7,2.72
28.33,92.97,2.3,29.5,1.13,32,34.1,3.36,14.4,30,45.6,2.69
29.3,87.53,4.05,30,1.06,29,33.7,4.73,15.3,36,45.3,2.69
